Job Title,Company,Location,Education,Experience,Deadline
ফিল্ড অফিসার,Association for Realisation of Basic Needs - ARBAN,"চট্টগ্রাম, কক্সবাজার, ঢাকা, গাজীপুর, নারায়ণগঞ্জ, পাবনা","At least 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 3 year(s),31 Aug 2023
"Project Officer, Livelihoods, Qatar Red Crescent",International Federation of Red Cross and Red Crescent Societies.,Cox's Bazar,"At least 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 3 year(s),31 Aug 2023
"Executive, Production",Square Pharmaceuticals PLC,Gazipur,"At least 2 year(s)
                                                        






 Deadline: 

1 Sep 2023",At least 2 year(s),"
1 Sep 2023"
Senior Consortium Manager-Outreach &Training,International Rescue Committee (IRC),Cox's Bazar,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
Trainee Merchandiser - RGR Sweater Ltd. (Assurance Moni Group),RGR Sweater Ltd.,Sreepur,Graduate from BUFT will be more preferableB.Sc in Textile Engineering with Merchandising as a ...,Na,31 Aug 2023
"Assistant Officer/Officer, HR & Admin",Akij Bakers Ltd.,Tongi,"At most 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",null,t 2 year(s)
Sr. Executive / Assistant Manager - Internal Audit,Runner Group,Dhaka,Master of Business Administration (MBA) in Accounts or Finance,2 to 5 year(s),31 Aug 2023
Jr. Officer (Sales & Marketing),Khaled Group of Companies,Anywhere in Bangladesh,Bachelor`s degree in any discipline,1 to 3 year(s),31 Aug 2023
"Officer, Systems Management",SMC Enterprise Ltd.,Banani,BSc. in Computer Science & Engineering,At least 1 year(s),31 Aug 2023
Upazila Officer (Female only),DASCOH Foundation,Patnitala,Graduate in Social Science discipline or equivalent from a reputed university.,At least 3 year(s),31 Aug 2023
কাস্টমার সার্ভিস/ কলসেন্টার এক্সিকিউটিভ,City Information Technology,ঢাকা,SSC/HSC/Diploma/Honours /Bachelor degree/Running Students are highly encouraged to apply.,Na,31 Aug 2023
Executive (Accounts),WorldRunner Express Limited,Anywhere in Bangladesh,Graduation in accounting / finance from any reputed university,2 to 3 year(s),31 Aug 2023
Engineer/ Shift Engineer (Power Plant),Sinha-Medlar Group,Anywhere in Bangladesh,"B.Sc. in Mechanical/Electrical/ Marine from reputed university. 
Diploma in Marine / Electrical/ ...",2 to 6 year(s),31 Aug 2023
Programme Assistant (Child Rights),Islamic Relief Bangladesh,Baridhara,"At least 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 2 year(s),31 Aug 2023
সেলস পারসন,LAZZ PHARMA LIMITED (MOGHBAZAR BRANCH),ঢাকা,"1 to 3 year(s)
                                                        






 Deadline: 

1 Sep 2023",1 to 3 year(s),"
1 Sep 2023"
